Age,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain
All ages,640021008,521283756,80163428,14491488,11744139,4553962,2719237
Less than 10,12126447,10212711,1370749,185952,119574,103114,54089
10-11,1958426,3893779,426532,22108,19147,25059,7372
12-13,8862105,7717087,952057,50841,30291,52957,17196
14-15,32025456,27201458,4005437,226153,152505,194069,63893
16-17,64659335,54325366,8222913,620114,498776,413617,135670
18-19,136290468,112885528,17396648,1837787,1860743,894607,335617
20-21,137045958,112218802,17040328,2378931,2964873,886227,502224
22-23,73586499,58494002,9360316,1970364,2131500,567627,468970
24-25,58979337,46324681,7520049,2056302,1677975,473064,447492
26-27,27988251,21957226,3206455,1387074,744743,235447,250055
28-29,20502591,16120370,2332045,1124077,459196,175631,145918
30-31,15095677,11836347,1795721,854439,280810,131497,76769
32-33,5964339,4707012,634075,403831,91533,53822,27818
34 +,7622123,5885489,958939,498806,114251,64704,27723
Not stated,34858717,27503898,4941164,874709,598222,282520,158431